modelo_id;topic_id;doc_id;eval_1;eval_2;eval_3;eval_4
BERTOPIC;4;4;1;1;1;1
BERTOPIC;4;5;1;1;1;1
BERTOPIC;5;1;2;2;2;2
BERTOPIC;5;2;1;1;1;1
BERTOPIC;5;3;1;1;1;1
BERTOPIC;5;4;1;1;2;1
BERTOPIC;5;5;1;1;1;1
BERTOPIC;6;1;2;1;2;1
BERTOPIC;6;2;1;1;1;1
BERTOPIC;6;3;1;1;1;1
BERTOPIC;6;4;1;1;1;1
BERTOPIC;6;5;1;1;1;1
BERTOPIC;7;1;1;1;1;1
BERTOPIC;7;2;1;1;1;1
BERTOPIC;7;3;1;1;1;1
BERTOPIC;7;4;1;1;1;1
BERTOPIC;7;5;1;1;1;1
BERTOPIC;8;1;1;1;1;1
BERTOPIC;8;2;1;1;1;1
BERTOPIC;8;3;1;1;1;1
BERTOPIC;8;4;1;1;1;1
BERTOPIC;8;5;1;1;1;1
BERTOPIC;9;1;1;1;2;1
BERTOPIC;9;2;1;1;1;1
BERTOPIC;9;3;1;1;1;1
BERTOPIC;9;4;1;1;1;1
BERTOPIC;9;5;1;1;1;1
BERTOPIC;10;1;1;1;2;1
BERTOPIC;10;2;1;1;1;1
BERTOPIC;10;3;1;1;1;1
BERTOPIC;10;4;1;1;1;1
BERTOPIC;10;5;1;1;1;1
BERTOPIC;11;1;2;1;2;1
BERTOPIC;11;2;2;1;2;1
BERTOPIC;11;3;2;1;2;1
BERTOPIC;11;4;2;1;2;1
BERTOPIC;11;5;2;1;2;1
BERTOPIC;12;1;1;1;1;1
BERTOPIC;12;2;1;1;1;1
BERTOPIC;12;3;2;1;2;1
BERTOPIC;12;4;1;1;2;1
BERTOPIC;12;5;1;1;2;1
BERTOPIC;13;1;2;1;1;1
BERTOPIC;13;2;2;1;1;1
BERTOPIC;13;3;2;1;1;1
BERTOPIC;13;4;2;1;1;1
BERTOPIC;13;5;2;1;1;1
BERTOPIC;14;1;2;1;2;1
BERTOPIC;14;2;2;1;2;1
BERTOPIC;14;3;2;2;2;2
BERTOPIC;14;4;2;1;2;1
BERTOPIC;14;5;2;1;2;1
BERTOPIC;15;1;1;1;1;1
BERTOPIC;15;2;1;1;1;1
BERTOPIC;15;3;1;1;1;1
BERTOPIC;15;4;1;1;1;1
BERTOPIC;15;5;1;1;1;1
BERTOPIC;16;1;2;2;2;2
BERTOPIC;16;2;2;1;2;1
BERTOPIC;16;3;2;2;2;2
